Escolaridade,Percentual_Carteira,Ano,Trimestre
2.0,6.896551724137931,2019,1
3.0,1.580135440180587,2019,1
4.0,0.0,2019,1
5.0,1.9572953736654803,2019,1
6.0,4.545454545454546,2019,1
7.0,10.031783869686134,2019,1
8.0,6.122448979591836,2019,1
9.0,4.716981132075472,2019,1
10.0,21.93151212004617,2019,1
11.0,21.153846153846157,2019,1
12.0,25.54904831625183,2019,1
13.0,17.989417989417987,2019,1
14.0,15.0,2019,1
15.0,14.285714285714285,2019,1
2.0,0.0,2019,2
3.0,0.4576659038901602,2019,2
4.0,4.0,2019,2
5.0,2.056555269922879,2019,2
6.0,1.2048192771084338,2019,2
7.0,9.534149230161864,2019,2
8.0,5.263157894736842,2019,2
9.0,4.23728813559322,2019,2
10.0,22.16915422885572,2019,2
11.0,16.93548387096774,2019,2
12.0,24.944649446494463,2019,2
13.0,16.2621359223301,2019,2
14.0,8.695652173913043,2019,2
15.0,12.5,2019,2
2.0,0.0,2019,3
3.0,1.182033096926714,2019,3
4.0,4.545454545454546,2019,3
5.0,1.7412935323383083,2019,3
6.0,1.2345679012345678,2019,3
7.0,10.49951028403526,2019,3
8.0,3.1746031746031744,2019,3
9.0,1.0416666666666663,2019,3
10.0,21.529015646662707,2019,3
11.0,11.666666666666666,2019,3
12.0,24.63872832369942,2019,3
13.0,17.121588089330025,2019,3
14.0,8.88888888888889,2019,3
15.0,25.0,2019,3
2.0,0.0,2019,4
3.0,2.349869451697128,2019,4
4.0,2.2222222222222223,2019,4
5.0,2.31023102310231,2019,4
6.0,2.127659574468085,2019,4
7.0,10.268996662085216,2019,4
8.0,8.49056603773585,2019,4
9.0,2.857142857142857,2019,4
10.0,21.79591836734694,2019,4
11.0,10.2803738317757,2019,4
12.0,23.46041055718475,2019,4
13.0,17.955112219451372,2019,4
14.0,14.583333333333334,2019,4
15.0,13.333333333333334,2019,4
2.0,8.695652173913043,2020,1
3.0,0.9933774834437088,2020,1
4.0,0.0,2020,1
5.0,2.0560747663551404,2020,1
6.0,1.1235955056179776,2020,1
7.0,9.885487263379297,2020,1
8.0,10.126582278481012,2020,1
9.0,3.0927835051546397,2020,1
10.0,20.59414786687514,2020,1
11.0,9.345794392523365,2020,1
12.0,23.575949367088608,2020,1
13.0,18.592964824120603,2020,1
14.0,29.03225806451613,2020,1
15.0,6.25,2020,1
2.0,0.0,2020,2
3.0,1.1494252873563218,2020,2
4.0,0.0,2020,2
5.0,1.99501246882793,2020,2
6.0,3.260869565217391,2020,2
7.0,9.079975947083584,2020,2
8.0,5.084745762711865,2020,2
9.0,3.7037037037037033,2020,2
10.0,18.19436775262286,2020,2
11.0,9.195402298850574,2020,2
12.0,21.29277566539924,2020,2
13.0,18.26086956521739,2020,2
14.0,23.07692307692308,2020,2
15.0,0.0,2020,2
2.0,0.0,2020,3
3.0,1.162790697674419,2020,3
4.0,3.4482758620689653,2020,3
5.0,2.061855670103093,2020,3
6.0,0.0,2020,3
7.0,8.279865566758325,2020,3
8.0,8.620689655172415,2020,3
9.0,1.2048192771084338,2020,3
10.0,18.247566063977747,2020,3
11.0,11.235955056179774,2020,3
12.0,21.535393818544364,2020,3
13.0,17.93103448275862,2020,3
14.0,8.333333333333332,2020,3
15.0,14.285714285714285,2020,3
2.0,3.0303030303030303,2020,4
3.0,1.744186046511628,2020,4
4.0,5.714285714285714,2020,4
5.0,2.607561929595828,2020,4
6.0,0.9345794392523364,2020,4
7.0,8.106435643564357,2020,4
8.0,10.909090909090908,2020,4
9.0,2.247191011235955,2020,4
10.0,19.31091969991664,2020,4
11.0,10.843373493975903,2020,4
12.0,23.83367139959432,2020,4
13.0,19.702602230483272,2020,4
14.0,16.666666666666664,2020,4
15.0,12.5,2020,4
2.0,7.5,2021,1
3.0,1.3245033112582782,2021,1
4.0,3.0303030303030303,2021,1
5.0,2.309782608695652,2021,1
6.0,2.8301886792452837,2021,1
7.0,7.230869001297018,2021,1
8.0,14.893617021276595,2021,1
9.0,1.0869565217391304,2021,1
10.0,18.68283273629099,2021,1
11.0,13.829787234042554,2021,1
12.0,21.39253279515641,2021,1
13.0,17.441860465116278,2021,1
14.0,20.0,2021,1
15.0,16.666666666666664,2021,1
2.0,5.714285714285714,2021,2
3.0,2.8901734104046244,2021,2
4.0,5.714285714285714,2021,2
5.0,2.635228848821081,2021,2
6.0,3.571428571428571,2021,2
7.0,7.767624020887728,2021,2
8.0,11.11111111111111,2021,2
9.0,0.99009900990099,2021,2
10.0,19.420689655172414,2021,2
11.0,16.666666666666664,2021,2
12.0,22.41555783009212,2021,2
13.0,19.76284584980237,2021,2
14.0,13.953488372093023,2021,2
15.0,20.0,2021,2
2.0,2.5,2021,3
3.0,2.631578947368421,2021,3
4.0,3.7735849056603774,2021,3
5.0,2.0902090209020905,2021,3
6.0,1.3986013986013983,2021,3
7.0,7.759506680369991,2021,3
8.0,11.76470588235294,2021,3
9.0,0.8547008547008548,2021,3
10.0,19.87980769230769,2021,3
11.0,14.772727272727272,2021,3
12.0,24.220837043633125,2021,3
13.0,23.651452282157678,2021,3
14.0,14.285714285714285,2021,3
15.0,18.181818181818183,2021,3
2.0,2.1739130434782608,2021,4
3.0,2.489626556016597,2021,4
4.0,1.6666666666666667,2021,4
5.0,2.103250478011472,2021,4
6.0,1.9867549668874172,2021,4
7.0,8.813559322033898,2021,4
8.0,9.859154929577464,2021,4
9.0,0.9523809523809524,2021,4
10.0,19.730839416058394,2021,4
11.0,16.842105263157894,2021,4
12.0,24.025974025974023,2021,4
13.0,19.747899159663863,2021,4
14.0,13.88888888888889,2021,4
