Escolaridade,Renda_Total,Ano,Trimestre
13.0,1026488.0,2022,2
14.0,252758.0,2022,2
15.0,100712.0,2022,2
1.0,0.0,2022,3
2.0,10318.0,2022,3
3.0,35569.0,2022,3
4.0,20651.0,2022,3
5.0,213157.0,2022,3
6.0,41542.0,2022,3
7.0,1926426.0,2022,3
8.0,33576.0,2022,3
9.0,23384.0,2022,3
10.0,3631181.0,2022,3
11.0,52685.0,2022,3
12.0,2422388.0,2022,3
13.0,1127302.0,2022,3
14.0,170918.0,2022,3
15.0,137400.0,2022,3
1.0,0.0,2022,4
2.0,8266.0,2022,4
3.0,27770.0,2022,4
4.0,14231.0,2022,4
5.0,221331.0,2022,4
6.0,43346.0,2022,4
7.0,2026192.0,2022,4
8.0,36202.0,2022,4
9.0,39346.0,2022,4
10.0,3837895.0,2022,4
11.0,46106.0,2022,4
12.0,2695721.0,2022,4
13.0,1473462.0,2022,4
14.0,204496.0,2022,4
15.0,190800.0,2022,4
1.0,1302.0,2023,1
2.0,9941.0,2023,1
3.0,23034.0,2023,1
4.0,21588.0,2023,1
5.0,219749.0,2023,1
6.0,23070.0,2023,1
7.0,2029823.0,2023,1
8.0,36518.0,2023,1
9.0,25185.0,2023,1
10.0,4121258.0,2023,1
11.0,48166.0,2023,1
12.0,2758516.0,2023,1
13.0,1328356.0,2023,1
14.0,170052.0,2023,1
15.0,182000.0,2023,1
2.0,3900.0,2023,2
3.0,35482.0,2023,2
4.0,16926.0,2023,2
5.0,172067.0,2023,2
6.0,24364.0,2023,2
7.0,1990997.0,2023,2
8.0,45770.0,2023,2
9.0,21732.0,2023,2
10.0,4041136.0,2023,2
11.0,67065.0,2023,2
12.0,2974756.0,2023,2
13.0,1400023.0,2023,2
14.0,157988.0,2023,2
15.0,218625.0,2023,2
1.0,0.0,2023,3
2.0,5050.0,2023,3
3.0,35140.0,2023,3
4.0,15525.0,2023,3
5.0,189749.0,2023,3
6.0,15260.0,2023,3
7.0,2030560.0,2023,3
8.0,54870.0,2023,3
9.0,29970.0,2023,3
10.0,3943300.0,2023,3
11.0,81661.0,2023,3
12.0,3065441.0,2023,3
13.0,1668733.0,2023,3
14.0,253024.0,2023,3
15.0,181100.0,2023,3
2.0,9872.0,2023,4
3.0,30550.0,2023,4
4.0,14610.0,2023,4
5.0,192407.0,2023,4
6.0,8190.0,2023,4
7.0,2089370.0,2023,4
8.0,49240.0,2023,4
9.0,46670.0,2023,4
10.0,4113193.0,2023,4
11.0,87457.0,2023,4
12.0,3080320.0,2023,4
13.0,1651428.0,2023,4
14.0,254163.0,2023,4
15.0,78720.0,2023,4
1.0,0.0,2024,1
2.0,9964.0,2024,1
3.0,28659.0,2024,1
5.0,191592.0,2024,1
6.0,12540.0,2024,1
7.0,2090365.0,2024,1
