Escolaridade,Percentual_Ocupados,Ano,Trimestre
5.0,16.448598130841123,2020,1
6.0,10.112359550561797,2020,1
7.0,38.677261042299605,2020,1
8.0,32.91139240506329,2020,1
9.0,17.525773195876287,2020,1
10.0,48.4029484029484,2020,1
11.0,39.25233644859813,2020,1
12.0,60.60126582278481,2020,1
13.0,63.81909547738693,2020,1
14.0,83.87096774193549,2020,1
15.0,68.75,2020,1
2.0,9.090909090909092,2020,2
3.0,10.919540229885058,2020,2
4.0,9.67741935483871,2020,2
5.0,10.972568578553616,2020,2
6.0,6.521739130434782,2020,2
7.0,28.32230907997595,2020,2
8.0,20.33898305084746,2020,2
9.0,12.34567901234568,2020,2
10.0,35.53285477636665,2020,2
11.0,26.436781609195403,2020,2
12.0,45.05703422053232,2020,2
13.0,54.78260869565217,2020,2
14.0,65.38461538461539,2020,2
15.0,54.54545454545454,2020,2
2.0,6.666666666666667,2020,3
3.0,8.720930232558139,2020,3
4.0,17.24137931034483,2020,3
5.0,11.72680412371134,2020,3
6.0,10.112359550561797,2020,3
7.0,32.01955392606172,2020,3
8.0,29.310344827586203,2020,3
9.0,9.63855421686747,2020,3
10.0,41.25173852573018,2020,3
11.0,28.08988764044944,2020,3
12.0,53.43968095712861,2020,3
13.0,64.13793103448275,2020,3
14.0,58.333333333333336,2020,3
15.0,71.42857142857143,2020,3
2.0,15.151515151515152,2020,4
3.0,16.27906976744186,2020,4
4.0,17.142857142857142,2020,4
5.0,14.732724902216429,2020,4
6.0,14.018691588785046,2020,4
7.0,35.30321782178218,2020,4
8.0,32.72727272727273,2020,4
9.0,11.235955056179774,2020,4
10.0,46.37399277577105,2020,4
11.0,48.19277108433735,2020,4
12.0,59.33062880324543,2020,4
13.0,70.26022304832715,2020,4
14.0,73.33333333333333,2020,4
15.0,87.5,2020,4
2.0,15.0,2021,1
3.0,17.880794701986755,2021,1
4.0,18.181818181818183,2021,1
5.0,13.994565217391305,2021,1
6.0,13.20754716981132,2021,1
7.0,34.59792477302205,2021,1
8.0,36.17021276595745,2021,1
9.0,9.782608695652174,2021,1
10.0,44.41995039955911,2021,1
11.0,46.80851063829788,2021,1
12.0,57.21493440968718,2021,1
13.0,71.70542635658916,2021,1
14.0,60.0,2021,1
15.0,83.33333333333334,2021,1
2.0,28.57142857142857,2021,2
3.0,20.23121387283237,2021,2
4.0,31.428571428571427,2021,2
5.0,13.869625520110956,2021,2
6.0,15.178571428571429,2021,2
7.0,34.627937336814625,2021,2
8.0,20.0,2021,2
9.0,9.9009900990099,2021,2
10.0,45.90344827586207,2021,2
11.0,50.0,2021,2
12.0,60.08188331627431,2021,2
13.0,74.70355731225297,2021,2
14.0,62.7906976744186,2021,2
15.0,80.0,2021,2
2.0,17.5,2021,3
3.0,14.661654135338344,2021,3
4.0,20.75471698113208,2021,3
5.0,13.751375137513753,2021,3
6.0,13.986013986013988,2021,3
7.0,37.66700924974306,2021,3
