Horas_Semanais,Renda_Total,Ano,Trimestre
63.0,500.0,2019,3
64.0,6950.0,2019,3
65.0,12648.0,2019,3
66.0,6696.0,2019,3
68.0,800.0,2019,3
70.0,35944.0,2019,3
72.0,44840.0,2019,3
76.0,3500.0,2019,3
77.0,1100.0,2019,3
78.0,1998.0,2019,3
80.0,4994.0,2019,3
84.0,6600.0,2019,3
90.0,6150.0,2019,3
91.0,1400.0,2019,3
92.0,1400.0,2019,3
96.0,998.0,2019,3
98.0,10000.0,2019,3
105.0,400.0,2019,3
1.0,90.0,2019,4
2.0,5123.0,2019,4
3.0,1100.0,2019,4
4.0,6938.0,2019,4
5.0,3200.0,2019,4
6.0,8508.0,2019,4
7.0,1220.0,2019,4
8.0,54282.0,2019,4
9.0,3548.0,2019,4
10.0,30822.0,2019,4
11.0,600.0,2019,4
12.0,26988.0,2019,4
13.0,520.0,2019,4
14.0,9007.0,2019,4
15.0,30764.0,2019,4
16.0,49819.0,2019,4
17.0,600.0,2019,4
18.0,6950.0,2019,4
20.0,539328.0,2019,4
21.0,4037.0,2019,4
22.0,6238.0,2019,4
23.0,1400.0,2019,4
24.0,159477.0,2019,4
25.0,87010.0,2019,4
26.0,11880.0,2019,4
27.0,4550.0,2019,4
28.0,12698.0,2019,4
30.0,1224453.0,2019,4
32.0,37102.0,2019,4
34.0,1650.0,2019,4
35.0,51624.0,2019,4
36.0,263302.0,2019,4
38.0,2974.0,2019,4
39.0,2070.0,2019,4
40.0,4318037.0,2019,4
41.0,1600.0,2019,4
42.0,77464.0,2019,4
43.0,6748.0,2019,4
44.0,1674681.0,2019,4
45.0,108897.0,2019,4
46.0,57218.0,2019,4
48.0,1065137.0,2019,4
49.0,2700.0,2019,4
50.0,546709.0,2019,4
51.0,2000.0,2019,4
52.0,29842.0,2019,4
53.0,1700.0,2019,4
54.0,29874.0,2019,4
55.0,29734.0,2019,4
56.0,66286.0,2019,4
58.0,4300.0,2019,4
60.0,393649.0,2019,4
61.0,4000.0,2019,4
63.0,3801.0,2019,4
64.0,2996.0,2019,4
65.0,8478.0,2019,4
66.0,6046.0,2019,4
67.0,9000.0,2019,4
68.0,4250.0,2019,4
70.0,85588.0,2019,4
72.0,34076.0,2019,4
74.0,1600.0,2019,4
77.0,1300.0,2019,4
78.0,1000.0,2019,4
79.0,1000.0,2019,4
80.0,10250.0,2019,4
82.0,8000.0,2019,4
84.0,20048.0,2019,4
85.0,400.0,2019,4
87.0,200.0,2019,4
88.0,1200.0,2019,4
90.0,3500.0,2019,4
91.0,8075.0,2019,4
96.0,4600.0,2019,4
101.0,1000.0,2019,4
105.0,400.0,2019,4
2.0,5620.0,2020,1
3.0,980.0,2020,1
4.0,7408.0,2020,1
5.0,18625.0,2020,1
6.0,8608.0,2020,1
7.0,2351.0,2020,1
8.0,31584.0,2020,1
9.0,4410.0,2020,1
10.0,35953.0,2020,1
11.0,30.0,2020,1
12.0,53953.0,2020,1
13.0,200.0,2020,1
14.0,4280.0,2020,1
15.0,23975.0,2020,1
16.0,49000.0,2020,1
18.0,19770.0,2020,1
20.0,412726.0,2020,1
21.0,3050.0,2020,1
22.0,12740.0,2020,1
24.0,179912.0,2020,1
25.0,56493.0,2020,1
26.0,2480.0,2020,1
27.0,1868.0,2020,1
28.0,10447.0,2020,1
30.0,1093993.0,2020,1
32.0,30846.0,2020,1
33.0,1700.0,2020,1
34.0,3750.0,2020,1
35.0,60794.0,2020,1
36.0,228679.0,2020,1
37.0,1996.0,2020,1
38.0,6037.0,2020,1
39.0,2059.0,2020,1
40.0,3999358.0,2020,1
42.0,37669.0,2020,1
43.0,600.0,2020,1
44.0,1492437.0,2020,1
45.0,87681.0,2020,1
46.0,40264.0,2020,1
47.0,3564.0,2020,1
48.0,898989.0,2020,1
49.0,3798.0,2020,1
50.0,536917.0,2020,1
51.0,4843.0,2020,1
52.0,36043.0,2020,1
53.0,1498.0,2020,1
54.0,36756.0,2020,1
55.0,30298.0,2020,1
56.0,73590.0,2020,1
57.0,1990.0,2020,1
58.0,2200.0,2020,1
59.0,1045.0,2020,1
60.0,292109.0,2020,1
61.0,500.0,2020,1
62.0,1300.0,2020,1
63.0,1139.0,2020,1
64.0,14000.0,2020,1
65.0,5945.0,2020,1
66.0,14077.0,2020,1
67.0,1800.0,2020,1
68.0,10000.0,2020,1
70.0,65148.0,2020,1
72.0,19339.0,2020,1
77.0,500.0,2020,1
78.0,2400.0,2020,1
80.0,14798.0,2020,1
84.0,18500.0,2020,1
85.0,6000.0,2020,1
90.0,2000.0,2020,1
98.0,8500.0,2020,1
105.0,560.0,2020,1
108.0,100.0,2020,1
112.0,2500.0,2020,1
1.0,1780.0,2020,2
2.0,4250.0,2020,2
3.0,800.0,2020,2
4.0,5620.0,2020,2
5.0,4125.0,2020,2
6.0,1950.0,2020,2
7.0,985.0,2020,2
8.0,16850.0,2020,2
9.0,380.0,2020,2
10.0,23550.0,2020,2
12.0,35930.0,2020,2
14.0,2350.0,2020,2
15.0,29578.0,2020,2
16.0,22861.0,2020,2
18.0,7095.0,2020,2
20.0,340224.0,2020,2
21.0,1350.0,2020,2
22.0,15995.0,2020,2
23.0,11900.0,2020,2
24.0,147332.0,2020,2
25.0,38479.0,2020,2
26.0,2200.0,2020,2
28.0,4550.0,2020,2
29.0,1000.0,2020,2
30.0,705070.0,2020,2
32.0,29143.0,2020,2
33.0,7980.0,2020,2
34.0,1950.0,2020,2
35.0,61113.0,2020,2
36.0,160223.0,2020,2
37.0,1996.0,2020,2
38.0,5290.0,2020,2
39.0,820.0,2020,2
40.0,2975648.0,2020,2
42.0,28462.0,2020,2
43.0,600.0,2020,2
44.0,1153932.0,2020,2
45.0,41261.0,2020,2
46.0,15923.0,2020,2
47.0,1650.0,2020,2
48.0,741792.0,2020,2
49.0,11045.0,2020,2
