Cor_Raca,Escolaridade,Renda_Media,Ano,Trimestre
1,2.0,609.0,2019,1
1,3.0,598.25,2019,1
1,4.0,285.0,2019,1
1,5.0,784.1538461538462,2019,1
1,6.0,1049.6,2019,1
1,7.0,896.4508771929825,2019,1
1,8.0,590.0,2019,1
1,9.0,1663.111111111111,2019,1
1,10.0,1424.4556818181818,2019,1
1,11.0,1014.1052631578948,2019,1
1,12.0,3311.7191283292977,2019,1
1,13.0,4955.735294117647,2019,1
1,14.0,9030.76923076923,2019,1
1,15.0,7800.0,2019,1
2,3.0,398.3333333333333,2019,1
2,4.0,200.0,2019,1
2,5.0,627.75,2019,1
2,6.0,1299.0,2019,1
2,7.0,935.5479452054794,2019,1
2,8.0,837.0,2019,1
2,9.0,1250.0,2019,1
2,10.0,1124.0325203252032,2019,1
2,11.0,856.6,2019,1
2,12.0,2743.095890410959,2019,1
2,13.0,2097.3571428571427,2019,1
2,14.0,5300.0,2019,1
2,15.0,10683.333333333334,2019,1
3,3.0,150.0,2019,1
3,5.0,,2019,1
3,7.0,935.875,2019,1
3,9.0,,2019,1
3,10.0,824.0,2019,1
3,11.0,,2019,1
3,12.0,3085.428571428572,2019,1
3,13.0,5250.0,2019,1
3,14.0,15000.0,2019,1
4,2.0,1470.0,2019,1
4,3.0,452.7826086956522,2019,1
4,4.0,510.0,2019,1
4,5.0,850.6107382550335,2019,1
4,6.0,1074.8,2019,1
4,7.0,863.9960132890366,2019,1
4,8.0,587.0714285714286,2019,1
4,9.0,1418.0,2019,1
4,10.0,1222.9727437916415,2019,1
4,11.0,922.59375,2019,1
4,12.0,2913.5884955752213,2019,1
4,13.0,3488.732876712329,2019,1
4,14.0,4130.277777777777,2019,1
4,15.0,9500.0,2019,1
5,3.0,,2019,1
5,5.0,600.0,2019,1
5,7.0,775.6,2019,1
5,10.0,2200.0,2019,1
5,11.0,1200.0,2019,1
5,12.0,2200.0,2019,1
5,13.0,2580.0,2019,1
5,14.0,1800.0,2019,1
9,7.0,,2019,1
1,2.0,85.0,2019,2
1,3.0,435.7647058823529,2019,2
1,4.0,70.0,2019,2
1,5.0,780.4406779661017,2019,2
1,6.0,719.6,2019,2
1,7.0,895.3127147766323,2019,2
1,8.0,751.1111111111111,2019,2
1,9.0,2427.2727272727275,2019,2
1,10.0,1518.88092345079,2019,2
1,11.0,1013.1875,2019,2
1,12.0,3267.6777251184835,2019,2
1,13.0,5300.759493670887,2019,2
1,14.0,7524.166666666667,2019,2
1,15.0,9332.166666666666,2019,2
2,2.0,,2019,2
2,3.0,502.57142857142856,2019,2
2,4.0,999.0,2019,2
2,5.0,729.1,2019,2
2,6.0,1500.0,2019,2
2,7.0,1105.5771812080536,2019,2
2,8.0,1500.0,2019,2
2,9.0,,2019,2
2,10.0,1364.030303030303,2019,2
2,11.0,857.6666666666666,2019,2
2,12.0,2251.6,2019,2
2,13.0,3044.260869565217,2019,2
2,14.0,6133.333333333333,2019,2
2,15.0,11500.0,2019,2
3,3.0,400.0,2019,2
3,5.0,1200.0,2019,2
3,7.0,734.9230769230769,2019,2
3,9.0,,2019,2
3,10.0,1349.375,2019,2
3,12.0,3499.5,2019,2
3,13.0,998.0,2019,2
3,15.0,,2019,2
4,2.0,416.6666666666667,2019,2
4,3.0,677.9444444444445,2019,2
4,4.0,644.8,2019,2
4,5.0,752.0763358778626,2019,2
4,6.0,590.0,2019,2
4,7.0,807.9824324324325,2019,2
4,8.0,670.7741935483871,2019,2
4,9.0,1418.75,2019,2
4,10.0,1258.4178743961352,2019,2
4,11.0,800.7021276595744,2019,2
4,12.0,2763.4718309859154,2019,2
4,13.0,3988.393103448276,2019,2
4,14.0,5041.5,2019,2
4,15.0,7037.5,2019,2
5,3.0,,2019,2
5,5.0,400.0,2019,2
5,6.0,400.0,2019,2
5,7.0,1008.6666666666666,2019,2
5,10.0,1088.4444444444443,2019,2
5,12.0,4109.8,2019,2
5,13.0,1600.0,2019,2
5,14.0,2000.0,2019,2
1,2.0,450.0,2019,3
1,3.0,442.625,2019,3
1,4.0,1000.0,2019,3
1,5.0,628.9454545454546,2019,3
1,6.0,648.0,2019,3
1,7.0,862.5697674418604,2019,3
1,8.0,336.25,2019,3
1,9.0,2179.818181818182,2019,3
1,10.0,1396.29706601467,2019,3
1,11.0,1008.7272727272727,2019,3
1,12.0,3552.4587378640776,2019,3
1,13.0,4913.625850340136,2019,3
1,14.0,7626.111111111111,2019,3
1,15.0,7330.0,2019,3
2,2.0,,2019,3
2,3.0,477.0,2019,3
2,4.0,998.0,2019,3
2,5.0,793.375,2019,3
2,6.0,1500.0,2019,3
2,7.0,876.3806818181819,2019,3
2,8.0,1500.0,2019,3
2,9.0,300.0,2019,3
2,10.0,1328.75,2019,3
2,11.0,703.6,2019,3
2,12.0,2452.921568627451,2019,3
2,13.0,2421.478260869565,2019,3
2,14.0,1550.0,2019,3
2,15.0,12800.0,2019,3
3,3.0,,2019,3
3,5.0,300.0,2019,3
3,7.0,1039.6,2019,3
3,8.0,200.0,2019,3
3,9.0,749.0,2019,3
3,10.0,1319.1,2019,3
3,12.0,3439.8,2019,3
3,13.0,4000.0,2019,3
4,2.0,200.0,2019,3
4,3.0,461.13953488372096,2019,3
4,4.0,371.625,2019,3
4,5.0,812.0984848484849,2019,3
4,6.0,275.0,2019,3
4,7.0,785.9609325771896,2019,3
4,8.0,467.1724137931034,2019,3
4,9.0,1081.25,2019,3
4,10.0,1256.1918294849022,2019,3
4,11.0,703.2222222222222,2019,3
4,12.0,2638.8577680525163,2019,3
4,13.0,3920.993006993007,2019,3
4,14.0,7233.166666666667,2019,3
4,15.0,4250.0,2019,3
5,3.0,,2019,3
5,5.0,,2019,3
5,6.0,,2019,3
5,7.0,943.0,2019,3
5,10.0,1326.888888888889,2019,3
5,12.0,1534.0,2019,3
5,13.0,3300.0,2019,3
1,2.0,800.0,2019,4
1,3.0,489.7142857142857,2019,4
1,4.0,120.0,2019,4
1,5.0,764.6271186440678,2019,4
1,6.0,460.0,2019,4
1,7.0,797.7799227799228,2019,4
1,8.0,653.6923076923077,2019,4
1,9.0,2745.692307692308,2019,4
1,10.0,1460.901069518717,2019,4
1,11.0,1138.1538461538462,2019,4
1,12.0,3782.847545219638,2019,4
1,13.0,5659.290780141844,2019,4
1,14.0,6808.15,2019,4
1,15.0,9583.333333333334,2019,4
2,2.0,,2019,4
2,3.0,1116.6666666666667,2019,4
2,4.0,699.0,2019,4
2,5.0,730.9444444444445,2019,4
2,6.0,1500.0,2019,4
2,7.0,846.8457446808511,2019,4
2,8.0,120.0,2019,4
2,9.0,,2019,4
2,10.0,1204.801724137931,2019,4
2,11.0,849.5,2019,4
2,12.0,1990.3,2019,4
2,13.0,2763.2105263157896,2019,4
2,14.0,7325.25,2019,4
2,15.0,15325.0,2019,4
3,5.0,2000.0,2019,4
3,7.0,1006.0833333333334,2019,4
3,8.0,998.0,2019,4
3,9.0,,2019,4
3,10.0,1904.4761904761904,2019,4
3,12.0,3283.333333333333,2019,4
3,14.0,4700.0,2019,4
3,15.0,998.0,2019,4
4,2.0,782.6666666666666,2019,4
4,3.0,581.9795918367347,2019,4
4,4.0,298.6,2019,4
4,5.0,736.4379562043796,2019,4
4,6.0,512.0,2019,4
4,7.0,818.2732997481108,2019,4
4,8.0,619.90625,2019,4
4,9.0,2094.4444444444443,2019,4
4,10.0,1221.1437908496732,2019,4
4,11.0,823.3684210526316,2019,4
4,12.0,2448.2991071428573,2019,4
4,13.0,4547.908496732026,2019,4
4,14.0,6258.333333333333,2019,4
4,15.0,6100.0,2019,4
5,3.0,,2019,4
5,5.0,400.0,2019,4
5,6.0,,2019,4
5,7.0,753.5384615384615,2019,4
5,8.0,,2019,4
5,10.0,1753.6923076923076,2019,4
5,12.0,2407.4,2019,4
5,13.0,1600.0,2019,4
9,7.0,1200.0,2019,4
1,2.0,,2020,1
1,3.0,752.6,2020,1
1,4.0,240.0,2020,1
1,5.0,775.1372549019608,2020,1
1,6.0,1140.0,2020,1
1,7.0,919.3263888888888,2020,1
1,8.0,333.3333333333333,2020,1
1,9.0,3150.0,2020,1
1,10.0,1449.645251396648,2020,1
1,11.0,799.5,2020,1
1,12.0,3625.3313609467455,2020,1
1,13.0,6206.154929577465,2020,1
1,14.0,10566.666666666666,2020,1
1,15.0,13600.0,2020,1
2,3.0,366.6666666666667,2020,1
2,4.0,,2020,1
2,5.0,723.8,2020,1
2,6.0,,2020,1
2,7.0,833.7870967741935,2020,1
2,8.0,998.0,2020,1
2,9.0,1100.0,2020,1
2,10.0,1241.326923076923,2020,1
2,11.0,660.0,2020,1
2,12.0,2207.40350877193,2020,1
2,13.0,3467.5789473684213,2020,1
2,14.0,3250.0,2020,1
2,15.0,11350.0,2020,1
3,3.0,90.0,2020,1
3,5.0,,2020,1
3,7.0,1267.5,2020,1
3,9.0,2500.0,2020,1
3,10.0,1266.2666666666669,2020,1
3,12.0,1224.5,2020,1
3,13.0,3150.0,2020,1
4,2.0,1279.1666666666667,2020,1
4,3.0,416.5,2020,1
4,4.0,807.1428571428571,2020,1
4,5.0,787.7596899224807,2020,1
4,6.0,1101.6666666666667,2020,1
4,7.0,856.3860465116279,2020,1
4,8.0,769.0952380952381,2020,1
4,9.0,1116.111111111111,2020,1
4,10.0,1237.5,2020,1
4,11.0,908.5454545454544,2020,1
4,12.0,2604.8927738927737,2020,1
4,13.0,3771.953125,2020,1
4,14.0,6188.888888888889,2020,1
4,15.0,4600.0,2020,1
5,3.0,,2020,1
5,5.0,600.0,2020,1
5,7.0,569.8571428571429,2020,1
5,10.0,1256.2222222222222,2020,1
5,11.0,,2020,1
5,12.0,1787.5,2020,1
5,13.0,1600.0,2020,1
1,2.0,,2020,2
