Ano	Trimestre	UF	Capital	RM_RIDE	UPA	Estrato	V1008	V1014	V1016	V1022	V1023	V1027	V1028	V1029	V1033	posest	posest_sxi	V4012	V4013	V40132A	V4015	V40151	V401511	V401512	V4016	V40161	V40162	V40163	V4017	V40171	V401711	V4018	V40181	V40182	V40183	V4019	V4020	V4021	V4022	V4024	V4025	V4026	V4027	V4028	V4029	V4032	V4033	V40331	V403312	V403322	V4034	V403412	V403422	V4039	V4039C	V4043	V4044	V4045	V4046	V4048	V4050	V40501	V405012	V4051	V40511	V405112	V405122	V405912	V405922	V4062	V4062C	V4063	V4063A	V4064	V4064A
2019	1	26			260000114	2653023	1	7	3	2	4	207.60728402	259.05013498	5415550	8165926	264	108	6.0	14001.0	2.0	1.0	1.0	1.0						2.0			1.0	2.0			2.0	1.0	1.0								2.0	1.0	1.0	2000.0		1.0	2000.0		44.0	44.0																		2.0		
2019	1	26			260000114	2653023	1	7	3	2	4	207.60728402	259.05013498	5415550	8493554	264	207	6.0	14001.0	2.0	1.0	1.0	1.0						2.0			1.0	2.0			2.0	1.0	1.0								2.0	1.0	1.0	2000.0		1.0	2000.0		44.0	44.0																		2.0		
2019	1	26			260000114	2653023	1	7	3	2	4	207.60728402	259.05013498	5415550	6116133	264	103																																																										
2019	1	26			260000114	2653023	2	7	3	2	4	207.60728402	287.12512608	5415550	5124941	264	112																																																										
2019	1	26			260000114	2653023	2	7	3	2	4	207.60728402	287.12512608	5415550	8326172	264	205																																																										
2019	1	26			260000114	2653023	2	7	3	2	4	207.60728402	287.12512608	5415550	7400031	264	102																																																										
2019	1	26			260000114	2653023	2	7	3	2	4	207.60728402	287.12512608	5415550	7093980	264	201																																																										
2019	1	26			260000114	2653023	3	7	3	2	4	207.60728402	244.98709684	5415550	8165926	264	108																																																										
2019	1	26			260000114	2653023	3	7	3	2	4	207.60728402	244.98709684	5415550	8550782	264	208	3.0	14001.0	2.0	2.0											1.0	4.0				1.0	1.0			2.0				2.0	2.0	1.0	1.0	600.0		1.0	600.0		40.0	40.0																		2.0		
2019	1	26			260000114	2653023	3	7	3	2	4	207.60728402	244.98709684	5415550	9823732	264	104	3.0	14001.0	2.0	2.0											1.0	4.0				1.0	1.0			2.0				2.0	2.0	1.0	1.0	600.0		1.0	600.0		40.0	40.0																		2.0		
2019	1	26			260000114	2653023	3	7	3	2	4	207.60728402	244.98709684	5415550	9823732	264	104	3.0	14001.0	2.0	2.0											1.0	4.0				1.0	1.0			2.0				2.0	2.0	1.0	1.0	600.0		1.0	600.0		40.0	40.0																		2.0		
2019	1	26			260000114	2653023	4	7	3	2	4	207.60728402	208.20132445	5415550	1966604	264	216																																																										
2019	1	26			260000114	2653023	5	7	3	2	4	207.60728402	223.69207954	5415550	4166218	264	113	1.0	97000.0	2.0																				2.0					2.0	2.0	1.0	1.0	900.0		1.0	900.0		36.0	36.0																		2.0		
2019	1	26			260000114	2653023	6	7	3	2	4	207.60728402	313.30306988	5415550	8246171	264	206	3.0	14002.0	2.0	2.0											1.0	4.0				1.0	1.0			1.0				2.0	2.0	1.0	1.0	1500.0		1.0	1500.0		50.0	50.0																		2.0		
2019	1	26			260000114	2653023	6	7	3	2	4	207.60728402	313.30306988	5415550	8120861	264	106	3.0	14002.0	2.0	2.0											1.0	4.0				1.0	1.0			1.0				2.0	2.0	1.0	1.0	1500.0		1.0	1500.0		50.0	50.0																		2.0		
2019	1	26			260000114	2653023	6	7	3	2	4	207.60728402	313.30306988	5415550	7093980	264	201																																																										
2019	1	26			260000114	2653023	8	7	3	2	4	207.60728402	283.22565657	5415550	8120861	264	106																																																										
2019	1	26			260000114	2653023	8	7	3	2	4	207.60728402	283.22565657	5415550	8550782	264	208																																																										
2019	1	26			260000114	2653023	8	7	3	2	4	207.60728402	283.22565657	5415550	7440245	264	101																																																										
2019	1	26			260000114	2653023	8	7	3	2	4	207.60728402	283.22565657	5415550	9473661	264	204																																																										
2019	1	26			260000114	2653023	8	7	3	2	4	207.60728402	283.22565657	5415550	9823732	264	104																																																										
2019	1	26			260000114	2653023	9	7	3	2	4	207.60728402	247.21303167	5415550	3761774	264	214																																																										
2019	1	26			260000114	2653023	9	7	3	2	4	207.60728402	247.21303167	5415550	8250475	264	107	3.0	14002.0	2.0	2.0											1.0	5.0				1.0	1.0			1.0				2.0	2.0	1.0	1.0	954.0		1.0	954.0		44.0	44.0																		2.0		
2019	1	26			260000114	2653023	9	7	3	2	4	207.60728402	247.21303167	5415550	8246171	264	206	3.0	48060.0	2.0	2.0											1.0	3.0				1.0	1.0			1.0				2.0	2.0	1.0	1.0	800.0		1.0	800.0		44.0	44.0																		2.0		
2019	1	26			260000114	2653023	10	7	3	2	4	207.60728402	254.34751936	5415550	8165926	264	108	3.0	1109.0	1.0	2.0											1.0	2.0				2.0				2.0				2.0	2.0	1.0	1.0	800.0		1.0	800.0		40.0	40.0																		2.0		
2019	1	26			260000114	2653023	10	7	3	2	4	207.60728402	254.34751936	5415550	8493554	264	207																																																										
2019	1	26			260000114	2653023	10	7	3	2	4	207.60728402	254.34751936	5415550	9823732	264	104																																																										
2019	1	26			260000114	2653023	11	7	3	2	4	207.60728402	254.34751936	5415550	8165926	264	108	6.0	10030.0	2.0	1.0	1.0	1.0						2.0			1.0	2.0			2.0	3.0		4.0							2.0	1.0	1.0	1600.0		1.0	1600.0		60.0	60.0																		2.0		
2019	1	26			260000114	2653023	11	7	3	2	4	207.60728402	254.34751936	5415550	8493554	264	207																																																										
2019	1	26			260000114	2653023	11	7	3	2	4	207.60728402	254.34751936	5415550	9823732	264	104																																																										
2019	1	26			260000114	2653023	12	7	3	2	4	207.60728402	272.03801796	5415550	8120861	264	106	6.0	56011.0	2.0	2.0								1.0	1.0	1.0	1.0	2.0			2.0	1.0	1.0								2.0	1.0	1.0	300.0		1.0	300.0		56.0	56.0																		2.0		
2019	1	26			260000114	2653023	12	7	3	2	4	207.60728402	272.03801796	5415550	7440245	264	101																																																										
2019	1	26			260000114	2653023	12	7	3	2	4	207.60728402	272.03801796	5415550	5771717	264	212																																																										
2019	1	26			260000114	2653023	12	7	3	2	4	207.60728402	272.03801796	5415550	5124941	264	112																																																										
2019	1	26			260000114	2653023	13	7	3	2	4	207.60728402	208.54775444	5415550	1556664	264	117																																																										
2019	1	26			260000114	2653023	13	7	3	2	4	207.60728402	208.54775444	5415550	2510129	264	217																																																										
2019	1	26			260000114	2653023	14	7	3	2	4	207.60728402	230.9174479	5415550	7679639	264	209																																																										
2019	1	26			260000114	2653023	14	7	3	2	4	207.60728402	230.9174479	5415550	8165926	264	108	3.0	41000.0	2.0	2.0											1.0	3.0				3.0		2.0		1.0				2.0	2.0	1.0	1.0	500.0		1.0	500.0		40.0	40.0																		2.0		
2019	1	26			260000114	2653023	14	7	3	2	4	207.60728402	230.9174479	5415550	9473661	264	204																																																										
2019	1	26			260000114	2653023	14	7	3	2	4	207.60728402	230.9174479	5415550	9823732	264	104	3.0	41000.0	2.0	2.0											1.0	2.0				3.0		2.0		1.0				2.0	2.0	1.0	1.0	500.0		1.0	500.0		40.0	40.0																		2.0		
2019	1	26			260000114	2653023	14	7	3	2	4	207.60728402	230.9174479	5415550	4794078	264	213																																																										
2019	1	26	26.0	26.0	260000206	2610013	1	7	3	1	1	345.17265795	424.61573265	1582920	8493554	261	207	1.0	97000.0	2.0																				1.0					2.0	2.0	1.0	1.0	640.0		1.0	640.0		16.0	16.0																		1.0		1.0
2019	1	26	26.0	26.0	260000206	2610013	1	7	3	1	1	345.17265795	424.61573265	1582920	9473661	261	204																																																										
2019	1	26	26.0	26.0	260000206	2610013	1	7	3	1	1	345.17265795	424.61573265	1582920	9823732	261	104																																																										
2019	1	26	26.0	26.0	260000206	2610013	1	7	3	1	1	345.17265795	424.61573265	1582920	5841543	261	203																																																										
2019	1	26	26.0	26.0	260000206	2610013	2	7	3	1	1	345.17265795	355.38183314	1582920	6437474	261	211	6.0	56020.0	2.0	2.0								2.0			1.0	1.0			2.0	3.0		7.0							2.0	1.0	1.0	320.0		1.0	320.0		12.0	12.0																		1.0		1.0
2019	1	26	26.0	26.0	260000206	2610013	2	7	3	1	1	345.17265795	355.38183314	1582920	5841543	261	203																																																										
2019	1	26	26.0	26.0	260000206	2610013	3	7	3	1	1	345.17265795	348.50154528	1582920	2779053	261	215																																																										
2019	1	26	26.0	26.0	260000206	2610013	3	7	3	1	1	345.17265795	348.50154528	1582920	5840020	261	111	3.0	48073.0	2.0	2.0											3.0			11.0		1.0	2.0	2.0		2.0				1.0		1.0	1.0	650.0		1.0	650.0		44.0	44.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	3	7	3	1	1	345.17265795	348.50154528	1582920	6862669	261	210	1.0	97000.0	2.0																				2.0					2.0	2.0	1.0	1.0	998.0		1.0	998.0		44.0	44.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	3	7	3	1	1	345.17265795	348.50154528	1582920	7679639	261	209	1.0	97000.0	2.0																				2.0					2.0	2.0	1.0	1.0	998.0		1.0	998.0		44.0	44.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	3	7	3	1	1	345.17265795	348.50154528	1582920	7239703	261	109	6.0	41000.0	2.0	2.0								2.0			1.0	1.0			2.0	3.0		3.0							2.0	1.0	1.0	1200.0		1.0	1200.0		44.0	44.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	3	7	3	1	1	345.17265795	348.50154528	1582920	8550782	261	208	6.0	96020.0	2.0	2.0								2.0			1.0	1.0			2.0	3.0		2.0							2.0	1.0	1.0	998.0		1.0	998.0		44.0	44.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	3	7	3	1	1	345.17265795	348.50154528	1582920	9823732	261	104																																																										
2019	1	26	26.0	26.0	260000206	2610013	5	7	3	1	1	345.17265795	424.29726152	1582920	7239703	261	109	6.0	38000.0	2.0	2.0								2.0			1.0	1.0			2.0	3.0		7.0							2.0	1.0	1.0	400.0		1.0	400.0		12.0	12.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	6	7	3	1	1	345.17265795	451.73093749	1582920	7239703	261	109	3.0	49030.0	2.0	2.0											4.0					1.0	2.0	6.0		2.0				1.0		1.0	1.0	1343.0		1.0	1343.0		44.0	44.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	6	7	3	1	1	345.17265795	451.73093749	1582920	8493554	261	207																																																										
2019	1	26	26.0	26.0	260000206	2610013	6	7	3	1	1	345.17265795	451.73093749	1582920	7440245	261	101																																																										
2019	1	26	26.0	26.0	260000206	2610013	7	7	3	1	1	345.17265795	334.18453339	1582920	5124941	261	112																																																										
2019	1	26	26.0	26.0	260000206	2610013	7	7	3	1	1	345.17265795	334.18453339	1582920	5771717	261	212																																																										
2019	1	26	26.0	26.0	260000206	2610013	8	7	3	1	1	345.17265795	360.15412074	1582920	4166218	261	113																																																										
2019	1	26	26.0	26.0	260000206	2610013	9	7	3	1	1	345.17265795	371.71147296	1582920	8246171	261	206	3.0	48073.0	2.0	2.0											4.0					1.0	1.0			2.0				1.0		1.0	1.0	998.0		1.0	998.0		44.0	44.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	9	7	3	1	1	345.17265795	371.71147296	1582920	8550782	261	208	3.0	82002.0	2.0	2.0											4.0					1.0	1.0			2.0				1.0		1.0	1.0	998.0		1.0	998.0		40.0	40.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	9	7	3	1	1	345.17265795	371.71147296	1582920	8493554	261	207	3.0	56011.0	2.0	2.0											3.0			40.0		1.0	1.0			2.0				1.0		1.0	1.0	998.0		1.0	998.0		44.0	44.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	10	7	3	1	1	345.17265795	416.72339576	1582920	6862669	261	210																																																										
2019	1	26	26.0	26.0	260000206	2610013	10	7	3	1	1	345.17265795	416.72339576	1582920	5840020	261	111	3.0	85013.0	2.0	2.0											4.0					1.0	1.0			2.0				1.0		1.0	1.0	15000.0		1.0	15000.0		48.0	48.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	10	7	3	1	1	345.17265795	416.72339576	1582920	8367279	261	105	3.0	62000.0	2.0	2.0											4.0					1.0	1.0			2.0				2.0	2.0	1.0	1.0	1000.0		1.0	1000.0		30.0	30.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	10	7	3	1	1	345.17265795	416.72339576	1582920	8367279	261	105																																																										
2019	1	26	26.0	26.0	260000206	2610013	12	7	3	1	1	345.17265795	297.80610774	1582920	3761774	261	214																																																										
2019	1	26	26.0	26.0	260000206	2610013	13	7	3	1	1	345.17265795	392.08032727	1582920	3761774	261	214																																																										
2019	1	26	26.0	26.0	260000206	2610013	13	7	3	1	1	345.17265795	392.08032727	1582920	4166218	261	113	3.0	81012.0	2.0	2.0											1.0	5.0				1.0	1.0			2.0				1.0		1.0	1.0	998.0		1.0	998.0		48.0	48.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	13	7	3	1	1	345.17265795	392.08032727	1582920	8165926	261	108																																																										
2019	1	26	26.0	26.0	260000206	2610013	13	7	3	1	1	345.17265795	392.08032727	1582920	9473661	261	204																																																										
2019	1	26	26.0	26.0	260000206	2610013	13	7	3	1	1	345.17265795	392.08032727	1582920	7050281	261	202																																																										
2019	1	26	26.0	26.0	260000206	2610013	14	7	3	1	1	345.17265795	366.97332697	1582920	8165926	261	108	3.0	45020.0	2.0	2.0											4.0					1.0	1.0			2.0				1.0		1.0	1.0	2000.0		1.0	2000.0		44.0	44.0																		2.0		
2019	1	26	26.0	26.0	260000206	2610013	14	7	3	1	1	345.17265795	366.97332697	1582920	8550782	261	208																																																										
2019	1	26			260000509	2653012	1	7	3	1	4	868.70150935	779.87783067	5415550	7679639	264	209	3.0	14001.0	2.0	2.0											4.0					1.0	1.0			2.0				1.0		1.0	1.0	998.0		1.0	998.0		44.0	44.0																		2.0		
2019	1	26			260000509	2653012	2	7	3	1	4	868.70150935	1298.46409126	5415550	8120861	264	106	6.0	49040.0	2.0	2.0								2.0			1.0	1.0			2.0	3.0		8.0							2.0	1.0	1.0	1000.0		1.0	1000.0		40.0	40.0																		2.0		
2019	1	26			260000509	2653012	2	7	3	1	4	868.70150935	1298.46409126	5415550	8246171	264	206	3.0	81011.0	2.0	2.0											4.0					1.0	2.0	1.0		2.0				1.0		1.0	1.0	1000.0		1.0	1000.0		30.0	30.0																		2.0		
2019	1	26			260000509	2653012	3	7	3	1	4	868.70150935	1013.54029724	5415550	6370044	264	110	4.0	84013.0	2.0																	1.0				1.0				2.0	1.0	1.0	1.0	998.0		1.0	998.0		50.0	50.0																		2.0		
2019	1	26			260000509	2653012	3	7	3	1	4	868.70150935	1013.54029724	5415550	7679639	264	209																																																										
