ano,trimestre,arquivo,ocupados_nao_ponderado,ocupados_ponderado,renda_total_ponderada
2022,1,PNADC_012022_organizado.csv,395,209554.43542145,6293705289.693514
2022,2,PNADC_022022_organizado.csv,417,209998.97916964,6147085010.664169
2022,3,PNADC_032022_organizado.csv,444,214492.24203362,6485773019.707078
2022,4,PNADC_042022_organizado.csv,421,207102.30728344,7397757033.309105
