Ano	Trimestre	UF	Capital	RM_RIDE	UPA	Estrato	V1008	V1014	V1016	V1022	V1023	V1027	V1028	V1029	V1033	posest	posest_sxi	V4012	V4013	V40132A	V4015	V40151	V401511	V401512	V4016	V40161	V40162	V40163	V4017	V40171	V401711	V4018	V40181	V40182	V40183	V4019	V4020	V4021	V4022	V4024	V4025	V4026	V4027	V4028	V4029	V4032	V4033	V40331	V403312	V403322	V4034	V403412	V403422	V4039	V4039C	V4043	V4044	V4045	V4046	V4048	V4050	V40501	V405012	V4051	V40511	V405112	V405122	V405912	V405922	V4062	V4062C	V4063	V4063A	V4064	V4064A
2023	3	26			260000408	2652021	1	11	1	2	4	80.36519115	127.71977195	5514644	7933023	264	205																																																										
2023	3	26			260000408	2652021	1	11	1	2	4	80.36519115	127.71977195	5514644	8126614	264	105	3.0	1105.0	1.0	2.0											4.0					2.0				1.0	1.0			2.0	2.0	1.0	1.0	1300.0		1.0	1300.0		44.0	44.0																		2.0		
2023	3	26			260000408	2652021	1	11	1	2	4	80.36519115	127.71977195	5514644	7096399	264	202																																																										
2023	3	26			260000408	2652021	1	11	1	2	4	80.36519115	127.71977195	5514644	7096399	264	202																																																										
2023	3	26			260000408	2652021	1	11	1	2	4	80.36519115	127.71977195	5514644	6511101	264	201																																																										
2023	3	26			260000408	2652021	1	11	1	2	4	80.36519115	127.71977195	5514644	6511101	264	201																																																										
2023	3	26			260000408	2652021	1	11	1	2	4	80.36519115	127.71977195	5514644	6511101	264	201																																																										
2023	3	26			260000408	2652021	2	11	1	2	4	80.36519115	80.81661327	5514644	5479195	264	213																																																										
2023	3	26			260000408	2652021	2	11	1	2	4	80.36519115	80.81661327	5514644	8449152	264	209																																																										
2023	3	26			260000408	2652021	2	11	1	2	4	80.36519115	80.81661327	5514644	7986885	264	109																																																										
2023	3	26			260000408	2652021	3	11	1	2	4	80.36519115	115.41308787	5514644	8171418	264	207																																																										
2023	3	26			260000408	2652021	3	11	1	2	4	80.36519115	115.41308787	5514644	7976074	264	107	3.0	1201.0	1.0	2.0											1.0	2.0				2.0				2.0				1.0		1.0	1.0	1320.0		1.0	1320.0		44.0	44.0																		2.0		
2023	3	26			260000408	2652021	3	11	1	2	4	80.36519115	115.41308787	5514644	7445323	264	102																																																										
2023	3	26			260000408	2652021	3	11	1	2	4	80.36519115	115.41308787	5514644	7445323	264	102																																																										
2023	3	26			260000408	2652021	4	11	1	2	4	80.36519115	107.74276863	5514644	8126614	264	105	3.0	1201.0	1.0	2.0											4.0					2.0				2.0				2.0	2.0	1.0	1.0	1200.0		1.0	1200.0		40.0	40.0																		2.0		
2023	3	26			260000408	2652021	4	11	1	2	4	80.36519115	107.74276863	5514644	8811157	264	204																																																										
2023	3	26			260000408	2652021	4	11	1	2	4	80.36519115	107.74276863	5514644	1751796	264	117																																																										
2023	3	26			260000408	2652021	4	11	1	2	4	80.36519115	107.74276863	5514644	7483244	264	210																																																										
2023	3	26			260000408	2652021	4	11	1	2	4	80.36519115	107.74276863	5514644	8168068	264	106	3.0	1201.0	1.0	2.0											4.0					2.0				2.0				2.0	2.0	1.0	1.0	800.0		1.0	800.0		40.0	40.0																		2.0		
2023	3	26			260000408	2652021	5	11	1	2	4	80.36519115	98.92714211	5514644	6120986	264	111	3.0	1201.0	1.0	2.0											4.0					2.0				2.0				1.0		1.0	1.0	1500.0		1.0	1500.0		40.0	40.0																		2.0		
2023	3	26			260000408	2652021	5	11	1	2	4	80.36519115	98.92714211	5514644	8449152	264	209																																																										
2023	3	26			260000408	2652021	5	11	1	2	4	80.36519115	98.92714211	5514644	8168068	264	106																																																										
2023	3	26			260000408	2652021	6	11	1	2	4	80.36519115	107.73745741	5514644	6972456	264	110	3.0	1201.0	1.0	2.0											4.0					2.0				2.0				2.0	2.0	1.0	1.0	1200.0		1.0	1200.0		40.0	0.0																		2.0		
2023	3	26			260000408	2652021	6	11	1	2	4	80.36519115	107.73745741	5514644	8171418	264	207																																																										
2023	3	26			260000408	2652021	6	11	1	2	4	80.36519115	107.73745741	5514644	7096399	264	202																																																										
2023	3	26			260000408	2652021	7	11	1	2	4	80.36519115	141.88585003	5514644	8126614	264	105	3.0	1201.0	1.0	2.0											2.0		6.0			2.0				2.0				1.0		1.0	1.0	1600.0		1.0	1600.0		44.0	44.0																		2.0		
2023	3	26			260000408	2652021	8	11	1	2	4	80.36519115	135.48840535	5514644	7933023	264	205																																																										
2023	3	26			260000408	2652021	8	11	1	2	4	80.36519115	135.48840535	5514644	7976074	264	107	3.0	1105.0	1.0	2.0											4.0					2.0				2.0				1.0		1.0	1.0	1500.0		1.0	1500.0		44.0	44.0																		2.0		
2023	3	26			260000408	2652021	9	11	1	2	4	80.36519115	121.44165752	5514644	8221545	264	206																																																										
2023	3	26			260000408	2652021	9	11	1	2	4	80.36519115	121.44165752	5514644	8126614	264	105	3.0	1201.0	1.0	2.0											4.0					2.0				1.0	1.0			2.0	2.0	1.0	1.0	1320.0		1.0	1320.0		44.0	44.0																		2.0		
2023	3	26			260000408	2652021	9	11	1	2	4	80.36519115	121.44165752	5514644	7445323	264	102																																																										
2023	3	26			260000408	2652021	10	11	1	2	4	80.36519115	150.75573494	5514644	7976074	264	107	3.0	1201.0	1.0	2.0											4.0					2.0				2.0				1.0		1.0	1.0	1320.0		1.0	1320.0		44.0	44.0																		2.0		
2023	3	26			260000408	2652021	11	11	1	2	4	80.36519115	130.67754972	5514644	8811157	264	204																																																										
2023	3	26			260000408	2652021	11	11	1	2	4	80.36519115	130.67754972	5514644	8168068	264	106																																																										
2023	3	26			260000408	2652021	12	11	1	2	4	80.36519115	86.9907701	5514644	5531311	264	112	3.0	1201.0	1.0	2.0											1.0	2.0				2.0				1.0	1.0			2.0	2.0	1.0	1.0	240.0		1.0	240.0		50.0	50.0																		2.0		
2023	3	26			260000408	2652021	13	11	1	2	4	80.36519115	106.36469921	5514644	7933023	264	205																																																										
2023	3	26			260000408	2652021	13	11	1	2	4	80.36519115	106.36469921	5514644	3683869	264	114																																																										
2023	3	26			260000408	2652021	13	11	1	2	4	80.36519115	106.36469921	5514644	7933023	264	205																																																										
2023	3	26			260000408	2652021	14	11	1	2	4	80.36519115	99.37536992	5514644	6120986	264	111	3.0	1201.0	1.0	2.0											1.0	2.0				2.0				2.0				2.0	2.0	1.0	1.0	1300.0		1.0	1300.0		50.0	50.0																		2.0		
2023	3	26			260000600	2653013	1	10	4	1	4	659.33489461	621.71346055	5514644	2352497	264	216																																																										
2023	3	26			260000600	2653013	2	10	4	1	4	659.33489461	859.41851694	5514644	8473703	264	208																																																										
2023	3	26			260000600	2653013	2	10	4	1	4	659.33489461	859.41851694	5514644	6823144	264	101																																																										
2023	3	26			260000600	2653013	3	10	4	1	4	659.33489461	766.17624436	5514644	7986885	264	109																																																										
2023	3	26			260000600	2653013	3	10	4	1	4	659.33489461	766.17624436	5514644	6706367	264	211																																																										
2023	3	26			260000600	2653013	3	10	4	1	4	659.33489461	766.17624436	5514644	5636439	264	203																																																										
2023	3	26			260000600	2653013	4	10	4	1	4	659.33489461	880.42390129	5514644	7483244	264	210																																																										
2023	3	26			260000600	2653013	4	10	4	1	4	659.33489461	880.42390129	5514644	7986885	264	109																																																										
2023	3	26			260000600	2653013	4	10	4	1	4	659.33489461	880.42390129	5514644	8126614	264	105	6.0	53002.0	2.0	2.0								2.0			1.0	1.0			2.0	3.0		2.0							2.0	1.0	1.0	1000.0		1.0	970.0		30.0	30.0																		1.0		1.0
2023	3	26			260000600	2653013	4	10	4	1	4	659.33489461	880.42390129	5514644	9211230	264	104																																																										
2023	3	26			260000600	2653013	5	10	4	1	4	659.33489461	885.8381143	5514644	6245754	264	212	4.0	84013.0	2.0																	1.0				2.0			2.0	2.0	2.0	1.0	1.0	4000.0		1.0	4000.0		20.0	20.0																		2.0		
2023	3	26			260000600	2653013	5	10	4	1	4	659.33489461	885.8381143	5514644	7976074	264	107	3.0	69000.0	2.0	2.0											1.0	3.0				1.0	1.0			2.0				2.0	1.0	1.0	1.0	3000.0		1.0	3000.0		40.0	40.0																		2.0		
2023	3	26			260000600	2653013	5	10	4	1	4	659.33489461	885.8381143	5514644	8221545	264	206	4.0	84013.0	2.0																	1.0				2.0			2.0	1.0		1.0	1.0	3000.0		1.0	3000.0		40.0	40.0																		2.0		
2023	3	26			260000600	2653013	6	10	4	1	4	659.33489461	842.38421323	5514644	6706367	264	211																																																										
2023	3	26			260000600	2653013	6	10	4	1	4	659.33489461	842.38421323	5514644	6120986	264	111	5.0	48030.0	2.0	2.0				1.0	2.0			2.0			1.0	3.0			1.0	1.0	1.0								2.0	1.0	1.0	1320.0		1.0	1320.0		54.0	54.0																		2.0		
2023	3	26			260000600	2653013	6	10	4	1	4	659.33489461	842.38421323	5514644	8126614	264	105	3.0	48030.0	2.0	2.0											1.0	3.0				1.0	1.0			2.0				1.0		1.0	1.0	1320.0		1.0	1320.0		54.0	54.0																		2.0		
2023	3	26			260000600	2653013	6	10	4	1	4	659.33489461	842.38421323	5514644	9211230	264	104																																																										
2023	3	26			260000600	2653013	6	10	4	1	4	659.33489461	842.38421323	5514644	9211230	264	104																																																										
2023	3	26			260000600	2653013	7	10	4	1	4	659.33489461	870.4669799	5514644	6120986	264	111	6.0	56020.0	2.0	2.0								2.0			1.0	1.0			2.0	3.0		7.0							2.0	1.0	1.0	600.0		1.0	600.0		45.0	45.0																		2.0		
2023	3	26			260000600	2653013	7	10	4	1	4	659.33489461	870.4669799	5514644	7483244	264	210	3.0	14001.0	2.0	2.0											1.0	4.0				1.0	1.0			2.0				2.0	2.0	1.0	1.0	600.0		1.0	600.0		45.0	45.0																		2.0		
2023	3	26			260000600	2653013	7	10	4	1	4	659.33489461	870.4669799	5514644	5636439	264	203																																																										
2023	3	26			260000600	2653013	7	10	4	1	4	659.33489461	870.4669799	5514644	5917576	264	103																																																										
2023	3	26			260000600	2653013	7	10	4	1	4	659.33489461	870.4669799	5514644	7933023	264	205																																																										
2023	3	26			260000600	2653013	7	10	4	1	4	659.33489461	870.4669799	5514644	7445323	264	102																																																										
2023	3	26			260000600	2653013	7	10	4	1	4	659.33489461	870.4669799	5514644	6511101	264	201																																																										
2023	3	26			260000600	2653013	8	10	4	1	4	659.33489461	780.56242602	5514644	8449152	264	209	4.0	84013.0	2.0																	1.0				2.0			1.0			1.0	1.0	2400.0		1.0	2400.0		40.0	40.0																		2.0		
2023	3	26			260000600	2653013	8	10	4	1	4	659.33489461	780.56242602	5514644	7986885	264	109	6.0	49040.0	2.0	2.0								2.0			1.0	1.0			2.0	3.0		6.0							2.0	1.0	1.0	1320.0		1.0	1320.0		48.0	48.0																		2.0		
2023	3	26			260000600	2653013	8	10	4	1	4	659.33489461	780.56242602	5514644	9211230	264	104																																																										
2023	3	26			260000600	2653013	9	10	4	1	4	659.33489461	747.83602101	5514644	2352497	264	216																																																										
2023	3	26			260000600	2653013	9	10	4	1	4	659.33489461	747.83602101	5514644	1757997	264	116																																																										
2023	3	26			260000600	2653013	9	10	4	1	4	659.33489461	747.83602101	5514644	8811157	264	204																																																										
2023	3	26			260000600	2653013	10	10	4	1	4	659.33489461	879.21095466	5514644	7976074	264	107	3.0	14001.0	2.0	2.0											2.0		10.0			1.0	1.0			2.0				2.0	2.0	1.0	1.0	800.0		1.0	800.0		40.0	40.0																		2.0		
2023	3	26			260000600	2653013	10	10	4	1	4	659.33489461	879.21095466	5514644	7483244	264	210	3.0	14001.0	2.0	2.0											2.0		10.0			1.0	1.0			2.0				2.0	2.0	1.0	1.0	800.0		1.0	800.0		40.0	40.0																		2.0		
2023	3	26			260000600	2653013	11	10	4	1	4	659.33489461	782.9532844	5514644	4713755	264	113	3.0	49040.0	2.0	2.0											2.0		7.0			1.0	2.0	6.0		2.0				1.0		1.0	1.0	1320.0		1.0	1320.0		40.0	40.0																		2.0		
2023	3	26			260000600	2653013	11	10	4	1	4	659.33489461	782.9532844	5514644	6706367	264	211																																																										
2023	3	26			260000600	2653013	11	10	4	1	4	659.33489461	782.9532844	5514644	8221545	264	206																																																										
