ano,trimestre,arquivo,ocupados_nao_ponderado,ocupados_ponderado,renda_total_ponderada
2025,1,PNADC_012025_organizado.csv,441,220944.77158658,10465645195.577633
2025,2,PNADC_022025_organizado.csv,412,206904.31879999,10041861568.208475
2025,3,PNADC_032025_organizado.csv,416,208784.03021082998,9730791303.197962
2025,4,PNADC_042025_organizado.csv,415,203048.49285262,10569634905.600182
