Ano,Trimestre,UF,Capital,RM_RIDE,UPA,Estrato,V1008,V1014,V1016,V1022,V1023,V1027,V1028,V1029,V1033,posest,posest_sxi,V4012,V4013,V40132A,V4015,V40151,V401511,V401512,V4016,V40161,V40162,V40163,V4017,V40171,V401711,V4018,V40181,V40182,V40183,V4019,V4020,V4021,V4022,V4024,V4025,V4026,V4027,V4028,V4029,V4032,V4033,V40331,V403312,V403322,V4034,V403412,V403422,V4039,V4039C,V4043,V4044,V4045,V4046,V4048,V4050,V40501,V405012,V4051,V40511,V405112,V405122,V405912,V405922,V4062,V4062C,V4063,V4063A,V4064,V4064A
2024,3,26,,,260000408,2652021,2,11,5,2,4,80.36519115,86.11037853,5532085,5623683,264,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3,26,,,260000408,2652021,2,11,5,2,4,80.36519115,86.11037853,5532085,7699645,264,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3,26,,,260000408,2652021,2,11,5,2,4,80.36519115,86.11037853,5532085,8055968,264,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3,26,,,260000408,2652021,3,11,5,2,4,80.36519115,104.70115183,5532085,8384073,264,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3,26,,,260000408,2652021,3,11,5,2,4,80.36519115,104.70115183,5532085,8082865,264,108,3.0,1201.0,1.0,2.0,,,,,,,,,,,1.0,2.0,,,,2.0,,,,2.0,,,,1.0,,1.0,1.0,1412.0,,1.0,1412.0,,30.0,30.0,,,,,,,,,,,,,,,,,,2.0,,
2024,3,26,,,260000408,2652021,3,11,5,2,4,80.36519115,104.70115183,5532085,7404039,264,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3,26,,,260000408,2652021,3,11,5,2,4,80.36519115,104.70115183,5532085,7404039,264,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3,26,,,260000408,2652021,4,11,5,2,4,80.36519115,107.3896209,5532085,8169765,264,106,3.0,1201.0,1.0,2.0,,,,,,,,,,,1.0,4.0,,,,2.0,,,,2.0,,,,2.0,2.0,1.0,1.0,1200.0,,1.0,1200.0,,25.0,25.0,,,,,,,,,,,,,,,,,,2.0,,
2024,3,26,,,260000408,2652021,4,11,5,2,4,80.36519115,107.3896209,5532085,8691614,264,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3,26,,,260000408,2652021,4,11,5,2,4,80.36519115,107.3896209,5532085,1826709,264,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
