ano,trimestre,arquivo,ocupados_nao_ponderado,ocupados_ponderado,renda_total_ponderada
2021,1,PNADC_012021_organizado.csv,242,160759.26539329,5604101296.320799
2021,2,PNADC_022021_organizado.csv,244,166177.65963212,5573173714.9221
2021,3,PNADC_032021_organizado.csv,313,165713.59372259997,5421472376.43168
2021,4,PNADC_042021_organizado.csv,355,183212.36373629,5692027850.945637
